,공원명,지역,면적,경도,위도,분류,크기
0,남산도시자연공원,중구,2896887.0,126.9903773,37.5501402,대형,15.0
1,길동생태공원,강동구,80683.0,127.1547791,37.5403935,소형,3.0
2,서울대공원,과천시,9132690.0,127.0198465,37.4264494,대형,15.0
3,서울숲,성동구,480994.0,127.0417982,37.5430717,중형,7.0
4,월드컵공원,마포구,2284085.0,126.878907,37.571805,대형,15.0
5,광화문시민열린마당,종로구,8948.1,126.9780227,37.5750449,소형,3.0
7,중마루근린공원,영등포구,6456.0,126.9112668,37.519832,소형,3.0
8,응봉공원,성동구,80309.0,127.0217653,37.5572281,소형,3.0
9,매화근린공원,강서구,1980.4,126.86115,37.5575833,소형,3.0
10,성수근린공원,성동구,5197.7,127.0524023,37.5448144,소형,3.0
11,샛마을근린공원,강동구,11467.0,127.1471618,37.5504807,소형,3.0
12,여의도근린공원,영등포구,229539.0,126.922377,37.526129,중형,7.0
13,간데메근린공원,동대문구,15179.7,127.0488644,37.5732438,소형,3.0
14,훈련원근린공원,중구,16734.6,127.0038188,37.5675245,소형,3.0
15,영등포근린공원,영등포구,61544.0,126.910662,37.515423,소형,3.0
16,보라매근린공원,동작구,424106.0,126.918289,37.492333,중형,7.0
17,어린이대공원,광진구,560552.0,127.0809212,37.5498987,중형,7.0
18,천호근린공원,강동구,26696.8,127.1263451,37.5444741,소형,3.0
19,용산가족공원,용산구,75900.0,126.983335,37.522226,소형,3.0
20,독립근린공원,서대문구,113021.72,126.956771,37.5738289,중형,7.0
21,낙산근린공원,종로구,201779.0,127.007587,37.580477,중형,7.0
22,양재시민의숲,서초구,258991.0,127.035042,37.471225,중형,7.0
23,관악산도시자연공원,관악구,10420819.08,126.96413,37.445208,대형,15.0
24,효창근린공원,용산구,171294.1,126.95993,37.545234,중형,7.0
26,개운산근린공원,성북구,297926.0,127.0252858,37.5965837,중형,7.0
27,개웅산근린공원,구로구,411972.0,126.8485734,37.4888943,중형,7.0
28,경희궁,종로구,98470.0,126.9685341,37.570773,소형,3.0
29,국립현충원,동작구,2038741.3,126.9736849,37.4998621,대형,15.0
30,계남근린공원,양천구,603715.2,126.8479643,37.5138358,중형,7.0
31,고척근린공원,구로구,108120.0,126.8521495,37.5042944,중형,7.0
32,파리근린공원,양천구,29619.3,126.8763932,37.5349739,소형,3.0
33,허준공원,강서구,29843.8,126.8526745,37.5679874,소형,3.0
34,궁동근린공원,서대문구,126026.0,126.9229851,37.5690506,중형,7.0
35,궁산근린공원,강서구,135002.7,126.838952,37.5735645,중형,7.0
36,까치산근린공원,동작구,384026.0,126.9640735,37.4845836,중형,7.0
37,꿩고개근린공원,강서구,180000.0,126.8157075,37.5801585,중형,7.0
38,노량진공원,동작구,416031.0,126.928607,37.510234,중형,7.0
39,답십리근린공원,동대문구,160720.0,127.0626512,37.5750896,중형,7.0
40,대모산도시자연공원,강남구,2277252.0,127.0809639,37.4796489,대형,15.0
41,탑골근린공원,종로구,19599.7,126.9882853,37.5710052,소형,3.0
42,갈산근린공원,양천구,138596.0,126.8689146,37.5082119,중형,7.0
43,천마근린공원,송파구,185295.0,127.1586644,37.5005173,중형,7.0
44,도곡근린공원,강남구,254648.0,127.0450338,37.4903127,중형,7.0
45,도산근린공원,강남구,29816.5,127.0350296,37.5246752,소형,3.0
46,청량공원,성북구,762642.0,127.0511145,37.6020055,중형,7.0
47,초안산근린공원,도봉구,664905.0,127.0455446,37.648316,중형,7.0
48,동명근린공원,강동구,99599.9,127.1676703,37.5598341,소형,3.0
49,마로니에공원,종로구,5802.0,127.0027886,37.5802295,소형,3.0
51,장지근린공원,송파구,585652.0,127.1387,37.4957083,중형,7.0
52,명일근린공원,강동구,649709.6,127.1613641,37.5537143,중형,7.0
53,방화근린공원,강서구,72132.0,126.8132285,37.5819812,소형,3.0
54,아시아근린공원,송파구,66027.8,127.0762885,37.5102779,소형,3.0
55,배봉산근린공원,동대문구,265582.0,127.0641623,37.5812324,중형,7.0
56,안산도시자연공원,서대문구,2088704.9,126.9390273,37.5798246,대형,15.0
57,염창근린공원,강서구,112070.0,126.8689817,37.5579702,중형,7.0
58,백련근린공원,서대문구,993724.0,126.928616,37.5879662,중형,7.0
59,오금근린공원,송파구,219167.0,127.1323957,37.5038715,중형,7.0
60,오동근린공원,강북구,1349556.4,127.0317269,37.6327957,대형,15.0
61,봉산도시자연공원,은평구,1511198.0,126.9020153,37.604071,대형,15.0
62,온수도시자연공원,구로구,1097565.0,126.83695,37.5002598,대형,15.0
63,봉은공원,강남구,328018.0,127.0554961,37.5139026,중형,7.0
65,와룡근린공원,종로구,207790.0,126.9901672,37.5907944,중형,7.0
66,봉화산근린공원,중랑구,1018689.0,127.0923625,37.6106404,대형,15.0
67,북악산도시자연공원,종로구,954553.0,126.9737295,37.5929992,중형,7.0
68,북한산국립공원,강북구,1667848.0,127.000938,37.624549,대형,15.0
69,외국인묘지공원,마포구,13224.0,126.911414,37.546797,소형,3.0
70,불광근린공원,은평구,130345.0,126.9298962,37.6188016,중형,7.0
71,불암산도시자연공원,노원구,5332422.0,127.0952714,37.6636719,대형,15.0
72,용마폭포공원,중랑구,5107964.0,127.0905888,37.5731968,대형,15.0
73,사육신공원,동작구,47832.0,126.948636,37.5137049,소형,3.0
74,용왕산근린공원,양천구,213552.0,126.8783125,37.5429593,중형,7.0
75,사직근린공원,종로구,168099.87,126.9674018,37.5759864,중형,7.0
76,우장산근린공원,강서구,359435.2,126.844932,37.5541932,중형,7.0
77,삼일근린공원,동작구,36660.0,126.9743686,37.4860183,소형,3.0
78,삼청근린공원,종로구,380735.0,126.9842875,37.5895821,중형,7.0
79,인왕산도시자연공원,종로구,1807420.9,126.9578438,37.5849001,대형,15.0
80,상도근린공원,동작구,359342.8,126.9385469,37.492299,중형,7.0
81,일자산도시자연공원,강동구,632733.0,127.1574587,37.5431657,중형,7.0
82,쌍문근린공원,도봉구,328018.0,127.0271316,37.6531456,중형,7.0
83,수락산도시자연공원,노원구,6691885.3,127.0813633,37.699232,대형,15.0
84,송파나루근린공원(석촌호수),송파구,285757.0,127.0983002,37.5069328,중형,7.0
85,선유도근린공원,영등포구,110407.0,126.90014,37.543418,중형,7.0
86,손기정체육공원,중구,29682.2,126.9652702,37.5560189,소형,3.0
87,성북근린공원,성북구,137759.0,127.0078625,37.5948509,중형,7.0
88,봉제산공원,강서구,917190.0,126.8517836,37.5421979,중형,7.0
89,서울창포원,도봉구,51470.0,127.047938,37.689585,소형,3.0
90,북서울꿈의숲,강북구,662543.0,127.0407344,37.6233355,중형,7.0
91,서서울호수공원,양천구,217946.0,126.8304789,37.5278392,중형,7.0
92,중랑캠핑숲,중랑구,179666.0,127.1093075,37.6049896,중형,7.0
93,솔밭근린공원,강북구,34955.0,127.0116241,37.652331,소형,3.0
94,금천체육공원(관악산),금천구,18083.0,126.908681,37.468164,소형,3.0
95,금천폭포근린공원,금천구,4835.0,126.9040127,37.4468663,소형,3.0
96,만수천공원(관악산),금천구,19650.0,126.9090028,37.4734274,소형,3.0
97,발바닥공원,도봉구,7000.0,127.031982,37.6597135,소형,3.0
98,월천근린공원,도봉구,10712.0,127.0509895,37.6473889,소형,3.0
99,용두근린공원,동대문구,17182.0,127.0390042,37.5732791,소형,3.0
100,상암근린공원,마포구,160349.3,126.8859012,37.5760106,중형,7.0
101,와우근린공원,마포구,87432.4,126.9289936,37.5517298,소형,3.0
102,금호근린공원,성동구,13467.0,127.0189457,37.5494726,소형,3.0
103,달맞이근린공원,성동구,46871.0,127.0212054,37.543564,소형,3.0
104,문정근린공원,송파구,49972.0,127.1275819,37.4862156,소형,3.0
105,문화예술공원,서초구,74385.0,127.030517,37.467654,소형,3.0
106,세종로공원,종로구,8868.0,126.9758875,37.5735,소형,3.0
107,샘말공원(관악산),관악구,10634.0,126.938511,37.4642128,소형,3.0
108,초안산생태공원,도봉구,22113.0,127.0405382,37.6479483,소형,3.0
110,서오능도시자연공원,은평구,1082847.0,126.9134338,37.6374823,대형,15.0
111,청계산도시자연공원,서초구,3692455.0,127.0424726,37.4224347,대형,15.0
112,개화근린공원,강서구,386500.0,126.8068278,37.5813917,중형,7.0
113,아차산생태공원,광진구,23450.0,127.1010031,37.5517142,소형,3.0
114,인능산도시자연공원,서초구,2400833.0,127.0666632,37.4482109,대형,15.0
115,구룡산,서초구,2752421.0,127.061567,37.4689473,대형,15.0
116,우면산도시자연공원,서초구,4180551.0,127.0091324,37.470484,대형,15.0
117,향림근린공원,은평구,147859.0,126.9240693,37.6293824,중형,7.0
118,신사근린공원,은평구,111650.0,126.9102948,37.5920771,중형,7.0
120,광평근린공원,강남구,519782.0,127.092184,37.4880445,중형,7.0
121,청담근린공원,강남구,59347.0,127.052453,37.5213259,소형,3.0
122,허브천문공원,강동구,25500.0,127.1533951,37.5372715,소형,3.0
123,연신내물빛공원,은평구,2560.0,126.9207354,37.619052,소형,3.0
124,나들이근린공원,중랑구,32000.0,127.113261,37.6054218,소형,3.0
125,숭인근린공원,종로구,45615.0,127.0178267,37.5764419,소형,3.0
126,서일대뒷산공원,중랑구,631021.0,127.0987817,37.5877155,중형,7.0
127,용마도시자연공원(사가정공원),중랑구,109635.0,127.095997,37.5797622,중형,7.0
128,문화비축기지,마포구,140022.0,126.8932455,37.57171848,중형,7.0
130,율현공원,강남구,157535.0,127.115594,37.472332,중형,7.0
