지역,sum,count,기간,인구,면적,인구밀도(명/㎢),인구수정,인당공원면적,면적비율
강남구,3626398.5,7,2020,"544,055",39.5,"13,773",544055.0,6.66549981159993,9180755.696202531
강동구,1526389.2999999998,7,2020,"463,998",24.59,"18,869",463998.0,3.2896462915788427,6207357.8690524595
강북구,3714902.4,4,2020,"311,569",23.6,"13,202",311569.0,11.923209305161938,15741111.86440678
강서구,2194154.1,9,2020,"585,901",41.44,"14,140",585901.0,3.744922947733491,5294773.407335907
관악구,10431453.08,2,2020,"509,803",29.57,"17,241",509803.0,20.461733414671944,35277149.40818397
광진구,584002.0,2,2020,"360,109",17.06,"21,105",360109.0,1.6217367519278885,3423223.915592028
구로구,1617657.0,3,2020,"432,488",20.12,"21,496",432488.0,3.7403511773737073,8040044.731610338
금천구,42568.0,3,2020,"247,835",13.02,"19,035",247835.0,0.17175943672201263,326943.1643625192
노원구,12024307.3,2,2020,"527,032",35.44,"14,872",527032.0,22.8151370315275,33928632.33634312
도봉구,1084218.0,6,2020,"327,361",20.65,"15,852",327361.0,3.3119950146779855,5250450.363196126
동대문구,458663.7,4,2020,"357,014",14.22,"25,114",357014.0,1.2847218876570667,3225483.1223628693
동작구,3706739.1,7,2020,"401,572",16.35,"24,555",401572.0,9.23057160359786,22671187.1559633
마포구,2685112.7,5,2020,"381,858",23.85,"16,011",381858.0,7.031704717460418,11258334.171907756
서대문구,3321476.62,4,2020,"322,952",17.63,"18,322",322952.0,10.28473773192301,18839912.76233693
서초구,13359636.0,6,2020,"429,025",46.98,"9,132",429025.0,31.139527999533826,28436858.237547893
성동구,626838.7,5,2020,"300,505",16.86,"17,822",300505.0,2.0859509825127702,3717904.5077105574
성북구,1198327.0,3,2020,"447,056",24.58,"18,190",447056.0,2.680485218854014,4875211.554109032
송파구,1391870.8,6,2020,"673,926",33.87,"19,896",673926.0,2.065316963583539,4109450.2509595514
양천구,1203428.5,5,2020,"457,781",17.41,"26,301",457781.0,2.628830161146924,6912283.170591613
영등포구,407946.0,4,2020,"407,367",24.55,"16,595",407367.0,1.0014213227875601,1661694.50101833
용산구,247194.1,2,2020,"244,645",21.87,"11,188",244645.0,1.0104195875656563,1130288.5230909921
은평구,2986459.0,6,2020,"484,043",29.71,"16,292",484043.0,6.169821689395364,10052032.98552676
종로구,3907680.57,12,2020,"158,996",23.91,"6,649",158996.0,24.57722565347556,16343289.711417817
중구,2943303.8,3,2020,"134,635",9.96,"13,517",134635.0,21.861357002265382,29551242.971887544
중랑구,7078975.0,6,2020,"399,562",18.5,"21,603",399562.0,17.716837436993508,38264729.72972973
