카테고리,채널명,구독자수,조회수,영상수
음악/댄스/가수,BLACKPINK,6400만,190억0381만,371
음악/댄스/가수,HYBE LABELS,6030만,187억1305만,654
음악/댄스/가수,BANGTANTV,5640만,121억9496만,"1,579"
음악/댄스/가수,SMTOWN,2850만,218억7092만,"3,729"
키즈/어린이,Boram Tube Vlog [보람튜브 브이로그],2650만,110억5288만,223
음악/댄스/가수,1MILLION Dance Studio,2420만,66억9490만,"2,897"
음악/댄스/가수,1theK (원더케이),2320만,205억9935만,"14,983"
음악/댄스/가수,JYP Entertainment,2160만,137억2534만,"1,327"
미분류,Coldplay,1930만,127억7164만,279
음악/댄스/가수,Mnet K-POP,1840만,129억4713만,"25,395"
음악/댄스/가수,JFlaMusic,1720만,34억2099만,279
TV/방송,KBS WORLD TV,1660만,123억5821만,"52,362"
음악/댄스/가수,officialpsy,1500만,86억2470만,90
음식/요리/레시피,Jane ASMR 제인,1420만,49억1263만,"1,189"
음악/댄스/가수,BIGBANG,1380만,66억7834만,773
음악/댄스/가수,TWICE,1150만,22억0372만,592
키즈/어린이,Nao FunFun,1080만,389만,34
음악/댄스/가수,Stone Music Entertainment,998만,78억6180만,"7,915"
키즈/어린이,DuDuPopTOY,984만,43억7104만,"1,743"
음식/요리/레시피,Hongyu ASMR 홍유,976만,26억9286만,385
키즈/어린이,핑크퐁 (인기 동요・동화),944만,57억0819만,"2,225"
TV/방송,MBCkpop,942만,73억6129만,"40,659"
키즈/어린이,서은이야기[SeoeunStory],937만,39억9710만,"1,001"
키즈/어린이,Larva TUBA,932만,40억4988만,"2,862"
키즈/어린이,Toymong tv 토이몽TV,927만,38억2320만,"1,832"
미분류,The Late Show with Stephen Colbert,860만,78억2615만,"8,348"
뉴스/정치/사회,MBCentertainment,838만,143억1770만,"85,420"
음악/댄스/가수,Mnet Official,833만,90억5602만,"18,118"
음악/댄스/가수,iKON,831만,20억9153만,468
음악/댄스/가수,EXO,828만,4억6473만,201
미분류,WIRED,811만,26억0772만,"3,220"
미분류,Nintendo,802만,27억2630만,"5,141"
미분류,BBC Radio 1,759만,31억9206만,"4,414"
TV/방송,M2,749만,55억2732만,"14,278"
키즈/어린이,MariAndKids,748만,22억8860만,808
음식/요리/레시피,[햄지]Hamzy,744만,21억4501만,331
음악/댄스/가수,TOMORROW X TOGETHER OFFICIAL,735만,4억4391만,741
키즈/어린이,SonicToy소닉토이,717만,29억3478만,164
음악/댄스/가수,Stray Kids,695만,10억1079만,464
음식/요리/레시피,Travel Thirsty,688만,28억9776만,676
뉴스/정치/사회,JTBC Entertainment,684만,97억1550만,"63,970"
해외,Serie A,683만,23억8736만,"20,486"
음악/댄스/가수,SEVENTEEN,680만,21억1584만,870
음악/댄스/가수,Sungha Jung,673만,18억7101만,"1,263"
음악/댄스/가수,이지금 [IU Official],663만,9억2633만,125
음식/요리/레시피,문복희 Eat with Boki,647만,14억4287만,422
음악/댄스/가수,ALL THE K-POP,638만,38억8505만,"19,505"
음식/요리/레시피,쏘영 Ssoyoung,636만,9억3311만,566
음악/댄스/가수,YG ENTERTAINMENT,635만,16억3096만,389
TV/방송,KBS Kpop,626만,47억1037만,"29,013"
음악/댄스/가수,GOT7,604만,7억5427만,579
음악/댄스/가수,MAMAMOO,602만,16억1405만,600
패션/미용,PONY Syndrome,586만,3억5464만,188
TV/방송,스브스케이팝 / SBS KPOP,582만,38억5363만,"25,785"
회사/오피셜,Samsung,577만,9억9991만,"1,551"
TV/방송,tvN DRAMA,577만,54억9406만,"34,868"
TV/방송,SBS Entertainment,572만,66억6475만,"216,725"
키즈/어린이,스위트티비 SweetTV,560만,26억5221만,503
음악/댄스/가수,ITZY,554만,9억6095만,421
TV/방송,SBS Drama,548만,57억5087만,"340,878"
미분류,PSG - Paris Saint-Germain,542만,5억6646만,"4,067"
키즈/어린이,[장난감티비]TOYTV,541만,26억3255만,"1,464"
키즈/어린이,미니특공대TV,537만,30억1718만,"1,105"
음악/댄스/가수,2NE1,530만,19억4708만,321
키즈/어린이,콩순이 • 시크릿 쥬쥬 [Kongsuni • Secret Jouju],516만,44억8253만,"1,236"
BJ/인물/연예인,[Awesome Haeun]어썸하은,515만,7억9726만,487
