카테고리,채널명,구독자수,조회수,영상수
음악/댄스/가수,BLACKPINK,"64,400,000","19,171,720,000",372
음악/댄스/가수,HYBE LABELS,"60,800,000","18,929,060,000",657
음악/댄스/가수,BANGTANTV,"56,900,000","12,364,070,000","1,586"
음악/댄스/가수,SMTOWN,"28,600,000","22,016,530,000","3,731"
키즈/어린이,Boram Tube Vlog [보람튜브 브이로그],"26,500,000","11,052,880,000",223
음악/댄스/가수,1MILLION Dance Studio,"24,200,000","6,718,800,000","2,960"
음악/댄스/가수,1theK (원더케이),"23,300,000","20,681,360,000","15,039"
음악/댄스/가수,JYP Entertainment,"21,800,000","13,864,560,000","1,343"
미분류,Coldplay,"19,300,000","12,818,080,000",280
음악/댄스/가수,Mnet K-POP,"18,500,000","13,106,470,000","25,729"
음악/댄스/가수,JFlaMusic,"17,300,000","3,430,440,000",279
TV/방송,KBS WORLD TV,"16,700,000","12,420,880,000","52,528"
음악/댄스/가수,officialpsy,"15,100,000","8,645,740,000",91
음식/요리/레시피,Jane ASMR 제인,"14,300,000","4,957,880,000","1,200"
음악/댄스/가수,BIGBANG,"13,800,000","6,694,500,000",773
음악/댄스/가수,TWICE,"11,500,000","2,232,820,000",595
키즈/어린이,Nao FunFun,"10,700,000","3,980,000",34
음악/댄스/가수,Stone Music Entertainment,"10,000,000","7,903,420,000","7,974"
키즈/어린이,DuDuPopTOY,"9,860,000","4,385,710,000","1,763"
음식/요리/레시피,Hongyu ASMR 홍유,"9,840,000","2,726,900,000",389
키즈/어린이,핑크퐁 (인기 동요・동화),"9,500,000","5,742,430,000","2,241"
TV/방송,MBCkpop,"9,440,000","7,392,760,000","40,784"
키즈/어린이,서은이야기[SeoeunStory],"9,370,000","4,002,900,000","1,006"
키즈/어린이,Larva TUBA,"9,330,000","4,063,680,000","2,890"
키즈/어린이,Toymong tv 토이몽TV,"9,290,000","3,836,850,000","1,842"
미분류,The Late Show with Stephen Colbert,"8,600,000","7,851,540,000","8,377"
뉴스/정치/사회,MBCentertainment,"8,390,000","14,383,840,000","85,568"
음악/댄스/가수,Mnet Official,"8,360,000","9,119,530,000","18,183"
음악/댄스/가수,iKON,"8,320,000","2,100,550,000",468
음악/댄스/가수,EXO,"8,300,000","469,830,000",201
미분류,WIRED,"8,170,000","2,631,730,000","3,228"
미분류,Nintendo,"8,030,000","2,736,090,000","5,166"
미분류,BBC Radio 1,"7,610,000","3,204,790,000","4,415"
음식/요리/레시피,[햄지]Hamzy,"7,540,000","2,182,000,000",334
TV/방송,M2,"7,520,000","5,571,320,000","14,342"
음악/댄스/가수,TOMORROW X TOGETHER OFFICIAL,"7,510,000","461,130,000",752
키즈/어린이,MariAndKids,"7,480,000","2,290,470,000",809
키즈/어린이,SonicToy소닉토이,"7,170,000","2,940,660,000",164
음악/댄스/가수,Stray Kids,"7,120,000","1,042,930,000",474
해외,Serie A,"7,090,000","2,401,910,000","20,553"
음식/요리/레시피,Travel Thirsty,"6,900,000","2,914,070,000",679
뉴스/정치/사회,JTBC Entertainment,"6,860,000","9,767,880,000","64,249"
음악/댄스/가수,SEVENTEEN,"6,840,000","2,141,270,000",879
