id,ed매장수,pk매장수,sb매장수,cb매장수,커피지수
가평,9,0.0,2.0,0.0,0.2222222222222222
강릉,15,2.0,5.0,0.0,0.29411764705882354
강진,1,0.0,0.0,0.0,0.0
거제,9,0.0,6.0,0.0,0.6666666666666666
거창,1,1.0,0.0,0.0,0.0
경산,9,4.0,8.0,0.0,0.6153846153846154
경주,25,1.0,8.0,2.0,0.38461538461538464
고령,1,0.0,1.0,0.0,1.0
고성(경남),1,2.0,0.0,0.0,0.0
고양 덕양,18,8.0,15.0,1.0,0.6153846153846154
고양 일산동,12,6.0,11.0,5.0,0.8888888888888888
고양 일산서,12,2.0,15.0,5.0,1.4285714285714286
고창,1,1.0,1.0,0.0,0.5
고흥,3,0.0,0.0,0.0,0.0
곡성,1,0.0,0.0,0.0,0.0
공주,5,1.0,2.0,0.0,0.3333333333333333
과천,2,0.0,3.0,0.0,1.5
광명,7,2.0,10.0,1.0,1.2222222222222223
광양,9,1.0,2.0,0.0,0.2
광주,14,4.0,5.0,0.0,0.2777777777777778
광주 광산,20,2.0,13.0,0.0,0.5909090909090909
광주 남구,8,1.0,11.0,2.0,1.4444444444444444
광주 동구,4,4.0,9.0,1.0,1.25
광주 북구,14,3.0,11.0,0.0,0.6470588235294118
광주 서구,14,2.0,12.0,2.0,0.875
괴산,2,0.0,0.0,0.0,0.0
구례,1,0.0,0.0,0.0,0.0
구리,9,3.0,3.0,0.0,0.25
구미,15,5.0,10.0,1.0,0.55
군산,8,1.0,4.0,0.0,0.4444444444444444
군포,8,9.0,5.0,2.0,0.4117647058823529
금산,1,0.0,0.0,1.0,1.0
김제,1,1.0,0.0,0.0,0.0
김천,3,0.0,2.0,0.0,0.6666666666666666
김포,22,13.0,14.0,2.0,0.45714285714285713
김해,32,3.0,12.0,1.0,0.37142857142857144
나주,5,0.0,1.0,0.0,0.2
남양주,44,5.0,12.0,1.0,0.2653061224489796
남원,1,1.0,0.0,0.0,0.0
남해,1,0.0,0.0,0.0,0.0
논산,2,1.0,2.0,0.0,0.6666666666666666
단양,1,0.0,0.0,0.0,0.0
담양,1,0.0,0.0,0.0,0.0
당진,7,3.0,3.0,0.0,0.3
대구 남구,6,0.0,3.0,0.0,0.5
대구 달서,14,7.0,18.0,0.0,0.8571428571428571
대구 달성,9,3.0,4.0,0.0,0.3333333333333333
대구 동구,8,2.0,8.0,0.0,0.8
대구 북구,9,4.0,6.0,0.0,0.46153846153846156
대구 서구,2,1.0,2.0,0.0,0.6666666666666666
대구 수성,9,3.0,21.0,2.0,1.9166666666666667
대구 중구,7,3.0,8.0,3.0,1.1
대전 대덕,3,2.0,5.0,0.0,1.0
대전 동구,2,4.0,4.0,0.0,0.6666666666666666
대전 서구,14,14.0,24.0,1.0,0.8928571428571429
대전 유성,13,8.0,12.0,1.0,0.6190476190476191
대전 중구,3,7.0,5.0,0.0,0.5
동두천,2,1.0,3.0,0.0,1.0
동해,1,1.0,1.0,1.0,1.0
목포,11,9.0,5.0,0.0,0.25
무안,4,2.0,1.0,0.0,0.16666666666666666
무주,1,0.0,0.0,0.0,0.0
문경,4,1.0,1.0,0.0,0.2
밀양,6,0.0,3.0,0.0,0.5
보령,1,1.0,1.0,0.0,0.5
보은,1,0.0,1.0,0.0,1.0
부산 강서,7,0.0,3.0,1.0,0.5714285714285714
부산 금정,8,1.0,8.0,0.0,0.8888888888888888
부산 기장,5,0.0,4.0,1.0,1.0
부산 남구,13,1.0,6.0,0.0,0.42857142857142855
부산 동구,2,0.0,5.0,1.0,3.0
부산 동래,13,1.0,5.0,0.0,0.35714285714285715
부산 부산진,13,3.0,19.0,1.0,1.25
부산 북구,8,3.0,3.0,1.0,0.36363636363636365
부산 사상,4,0.0,3.0,0.0,0.75
부산 사하,8,1.0,8.0,0.0,0.8888888888888888
부산 서구,3,0.0,2.0,0.0,0.6666666666666666
부산 수영,5,0.0,6.0,1.0,1.4
부산 연제,9,0.0,6.0,0.0,0.6666666666666666
부산 영도,2,0.0,1.0,0.0,0.5
부산 중구,5,3.0,8.0,3.0,1.375
부산 해운대,8,2.0,33.0,4.0,3.7
부안,4,1.0,1.0,0.0,0.2
부여,2,0.0,0.0,0.0,0.0
부천,29,11.0,17.0,6.0,0.575
사천,3,0.0,2.0,0.0,0.6666666666666666
산청,1,0.0,1.0,0.0,1.0
삼척,4,1.0,0.0,0.0,0.0
상주,2,0.0,0.0,1.0,0.5
서귀포,7,8.0,11.0,0.0,0.7333333333333333
서산,9,1.0,4.0,0.0,0.4
서울 강남,27,9.0,79.0,46.0,3.4722222222222223
서울 강동,13,8.0,13.0,7.0,0.9523809523809523
서울 강북,10,3.0,5.0,1.0,0.46153846153846156
서울 강서,37,8.0,17.0,5.0,0.4888888888888889
서울 관악,23,7.0,11.0,2.0,0.43333333333333335
서울 광진,12,6.0,18.0,3.0,1.1666666666666667
서울 구로,20,6.0,9.0,2.0,0.4230769230769231
서울 금천,16,1.0,11.0,2.0,0.7647058823529411
서울 노원,19,6.0,12.0,2.0,0.56
서울 도봉,9,3.0,2.0,0.0,0.16666666666666666
서울 동대문,17,4.0,8.0,3.0,0.5238095238095238
서울 동작,10,4.0,11.0,1.0,0.8571428571428571
서울 마포,24,6.0,27.0,8.0,1.1666666666666667
서울 서대문,11,3.0,19.0,5.0,1.7142857142857142
서울 서초,18,4.0,42.0,26.0,3.090909090909091
서울 성동,13,7.0,6.0,2.0,0.4
서울 성북,19,7.0,15.0,3.0,0.6923076923076923
서울 송파,32,8.0,33.0,8.0,1.025
서울 양천,16,0.0,12.0,4.0,1.0
서울 영등포,21,5.0,28.0,10.0,1.4615384615384615
서울 용산,12,4.0,22.0,4.0,1.625
서울 은평,18,6.0,8.0,2.0,0.4166666666666667
서울 종로,13,3.0,31.0,13.0,2.75
서울 중구,17,5.0,43.0,8.0,2.3181818181818183
서울 중랑,13,4.0,7.0,1.0,0.47058823529411764
서천,2,0.0,2.0,0.0,1.0
성남 분당,16,11.0,45.0,7.0,1.9259259259259258
성남 수정,11,6.0,3.0,1.0,0.23529411764705882
성남 중원,8,4.0,2.0,1.0,0.25
성주,1,0.0,0.0,0.0,0.0
세종,19,5.0,10.0,0.0,0.4166666666666667
속초,9,0.0,4.0,0.0,0.4444444444444444
수원 권선,11,4.0,7.0,1.0,0.5333333333333333
수원 영통,17,4.0,10.0,3.0,0.6190476190476191
수원 영통구,1,0.0,3.0,0.0,3.0
수원 장안,4,3.0,4.0,2.0,0.8571428571428571
수원 팔달,8,3.0,8.0,2.0,0.9090909090909091
순창,1,0.0,0.0,0.0,0.0
순천,17,3.0,6.0,0.0,0.3
시흥,20,7.0,11.0,0.0,0.4074074074074074
아산,10,7.0,7.0,0.0,0.4117647058823529
안동,6,1.0,5.0,0.0,0.7142857142857143
